Toyota Yaris 1,4 D... Terra 5d;90 HK;171.000;22,2 km/l;10,7 sek.;49.900 kr.;2008
Toyota Yaris 1,3 V...omfort 5d;99 HK;31.000;20,4 km/l;11,7 sek.;129.800 kr.;2015
Toyota Avensis 1,8...st.car 5d;147 HK;90.000;15,2 km/l;9,7 sek.;179.900 kr.;2014
Ford Mondeo 2,0 TD...r aut. 5d;163 HK;89.000;19,2 km/l;9,8 sek.;239.900 kr.;2014
Mercedes E200 2,2 ...r aut. 5d;136 HK;250.000;18,9 km/l;10,1 sek.;299.000 kr.;2014
BMW 318i 1,5 Touring 5d;136 HK;15.000;18,5 km/l;9,2 sek.;339.900 kr.;2017
Skoda Fabia 1,2 12... Combi 5d;70 HK;173.000;16,9 km/l;15,1 sek.;44.900 kr.;2008
Nissan Qashqai 1,5... Tekna 5d;110 HK;7.000;25,0 km/l;11,9 sek.;264.700 kr.;2017
Toyota C-HR 1,2 T C-HIC 5d;116 HK;8.000;16,7 km/l;10,9 sek.;289.900 kr.;2016
Audi A5 2,0 TFSi 2...ltitr. 2d;211 HK;95.000;13,5 km/l;7,5 sek.;149.900 kr.;2010
Nissan Note 1,4 Visia 5d;88 HK;31.000;16,9 km/l;13,1 sek.;94.900 kr.;2013
VW Passat 2,0 TDi ...i. DSG 5d;150 HK;29.000;22,2 km/l;8,9 sek.;339.900 kr.;2015
Citroxebn Berling...uction 5d;92 HK;97.000;19,2 km/l;14,3 sek.;89.900 kr.;2012
Nissan Qashqai 1,6... X-tr. 5d;130 HK;42.000;21,7 km/l;10,7 sek.;284.900 kr.;2014
Volvo C30 1,6 D2 115 3d;115 HK;76.000;27,8 km/l;11,3 sek.;184.900 kr.;2013
Mercedes V250 d 2,...aut. lang;190 HK;7.000;16,7 km/l;9,1 sek.;1.029.900 kr.;2017
VW Golf VII 1,6 TD...DSG BM 5d;105 HK;68.000;25,0 km/l;11,0 sek.;199.900 kr.;2015
Citroxebn DS4 1,6... Style 5d;112 HK;70.000;22,2 km/l;12,4 sek.;149.900 kr.;2012
Ford Ka 1,2 Titanium 3d;69 HK;58.000;20,4 km/l;13,1 sek.;59.900 kr.;2014
Hyundai i30 1,6 CR...CW ISG 5d;90 HK;137.000;22,2 km/l;13,9 sek.;88.900 kr.;2011
Suzuki Baleno 1,2 ...e SHVS 5d;90 HK;0;-;12,3 sek.;161.900 kr.;2018
BMW 320d 2,0 Touri...g aut. 5d;184 HK;120.000;21,3 km/l;7,6 sek.;324.900 kr.;2012
VW Touran 1,6 TDi ...SG BMT 5d;110 HK;28.000;23,3 km/l;11,9 sek.;334.900 kr.;2016
Mercedes ML350 3,0...t. 4-M 5d;258 HK;90.000;13,5 km/l;7,4 sek.;799.900 kr.;2013
Ford Transit 300S ...biente 5d;85 HK;102.000;12,7 km/l;-;249.900 kr.;2011
Skoda Fabia 1,2 12... Fresh 5d;70 HK;27.000;18,2 km/l;15,0 sek.;97.900 kr.;2013
Renault Captur 1,5...ession 5d;90 HK;14.000;27,0 km/l;13,1 sek.;164.900 kr.;2016
Seat Ibiza 1,2 TSi...ST eco 5d;105 HK;88.000;19,6 km/l;10,2 sek.;89.700 kr.;2012
Nissan Qashqai 1,5... Tekna 5d;110 HK;36.000;26,3 km/l;12,4 sek.;239.900 kr.;2015
Ford C-MAX 1,6 TDC...tanium 5d;115 HK;184.000;22,7 km/l;11,3 sek.;109.900 kr.;2012
Audi A4 2,0 TDi 13... Avant 5d;136 HK;83.000;21,3 km/l;9,8 sek.;249.900 kr.;2013
Nissan Qashqai 1,5...Vision 5d;110 HK;8.000;26,3 km/l;12,4 sek.;264.900 kr.;2017
Chevrolet Aveo 1,2 LS 3d;84 HK;123.000;18,2 km/l;12,8 sek.;44.800 kr.;2012
Hyundai i20 1,0 T-...Spring 5d;100 HK;0;23,3 km/l;10,7 sek.;159.192 kr.;2017
VW Golf VII 1,4 GTE DSG 5d;204 HK;28.000;-;7,6 sek.;359.900 kr.;2016
BMW 330d 3,0 Touri...teptr. 5d;231 HK;284.000;13,2 km/l;6,8 sek.;149.900 kr.;2007
Peugeot Partner 1,...S-line 5d;90 HK;135.000;18,5 km/l;13,4 sek.;44.800 kr.;2007
Mercedes E250 2,2 .... 7prs 5d;204 HK;63.000;19,2 km/l;7,8 sek.;448.900 kr.;2013
Ford Tourneo Custo... Titanium;130 HK;5.000;15,9 km/l;-;509.900 kr.;2017
Citroxebn Berling...uction 5d;92 HK;72.000;19,2 km/l;14,3 sek.;134.900 kr.;2014
VW Golf VII 1,6 TD...ariant 5d;110 HK;68.000;30,3 km/l;11,0 sek.;189.900 kr.;2015
Ford Mondeo 2,0 TD...st.car 5d;140 HK;137.000;21,7 km/l;9,8 sek.;159.900 kr.;2014
Mercedes C220 2,2 ...ut. BE 4d;170 HK;72.000;20,8 km/l;8,1 sek.;259.900 kr.;2011
Mercedes B180 d 1,... rban 5d;109 HK;42.000;24,4 km/l;11,6 sek.;239.800 kr.;2016
Opel Astra 1,4 T 1...joy ST 5d;150 HK;20.000;20,4 km/l;8,9 sek.;239.900 kr.;2017
Toyota Yaris 1,5 H... e-CVT 5d;100 HK;10.000;-;11,8 sek.;174.900 kr.;2017
Nissan Qashqai 1,2... Tekna 5d;115 HK;54.000;17,9 km/l;11,3 sek.;229.900 kr.;2015
Ford Galaxy 2,0 TD...m aut. 5d;180 HK;29.000;19,2 km/l;9,6 sek.;399.000 kr.;2017
Audi A3 1,6 Ambition 3d;101 HK;195.000;13,2 km/l;11,0 sek.;24.900 kr.;1997
Ford Focus 2,0 TDC...r aut. 5d;163 HK;139.000;19,2 km/l;9,1 sek.;149.900 kr.;2013
Suzuki Swift 1,0 B...e SHVS 5d;112 HK;2.000;-;10,6 sek.;169.900 kr.;2017
Nissan Qashqai 1,2...nnecta 5d;115 HK;8.000;17,9 km/l;11,3 sek.;229.900 kr.;2016
Audi Q5 2,0 TFSi 2...Tiptr. 5d;225 HK;32.000;12,7 km/l;7,1 sek.;549.900 kr.;2014
Opel Astra 1,6 CDT...joy ST 5d;110 HK;13.000;28,6 km/l;11,4 sek.;204.900 kr.;2016
BMW 114i 1,6  3d;102 HK;49.000;18,2 km/l;11,2 sek.;199.800 kr.;2014
Toyota Avensis 1,8...ive TS 5d;147 HK;13.000;15,4 km/l;9,7 sek.;288.888 kr.;2017
Opel Insignia 2,0 ...ion ST 5d;170 HK;9.000;18,9 km/l;8,9 sek.;399.900 kr.;2018
Volvo V70 2,0 D4 1...mentum 5d;181 HK;86.000;23,3 km/l;8,6 sek.;319.900 kr.;2014
BMW 520d 2,0 Touri...g aut. 5d;184 HK;162.000;19,2 km/l;8,3 sek.;309.900 kr.;2012
Ford Mondeo 2,0 TD...r aut. 5d;150 HK;20.000;20,4 km/l;10,0 sek.;304.900 kr.;2016
Opel Meriva 1,4 T ... Cosmo 5d;120 HK;151.000;16,4 km/l;11,5 sek.;99.900 kr.;2011
Seat Ibiza 1,0 TSi...yle ST 5d;95 HK;16.000;24,4 km/l;10,8 sek.;154.900 kr.;2016
VW Touran 1,6 TDi ...T 7prs 5d;105 HK;45.000;21,7 km/l;12,8 sek.;229.900 kr.;2015
Nissan Qashqai 2,0 Tekna 5d;141 HK;95.000;12,3 km/l;10,1 sek.;114.900 kr.;2008
Citroxebn C3 1,4 ...uction 5d;70 HK;183.000;25,0 km/l;16,0 sek.;59.900 kr.;2011
Hyundai i30 1,6 CR...ion CW 5d;110 HK;14.000;25,6 km/l;11,5 sek.;182.000 kr.;2016
Peugeot 207 1,6 S16 3d;109 HK;139.000;14,3 km/l;10,6 sek.;39.800 kr.;2006
Audi A4 2,0 TDi 17... S-tr. 5d;177 HK;111.000;18,2 km/l;8,0 sek.;339.900 kr.;2013
BMW 320d 2,0  4d;184 HK;95.000;22,2 km/l;7,5 sek.;254.900 kr.;2014
VW Passat 1,4 TSi ...um DSG 4d;150 HK;19.000;19,6 km/l;8,4 sek.;369.900 kr.;2017
Peugeot 308 1,6 Bl...yle SW 5d;120 HK;15.000;31,3 km/l;10,1 sek.;209.800 kr.;2016
Kia Picanto 1,0 MP...T-Line 5d;67 HK;2.000;23,8 km/l;14,3 sek.;149.800 kr.;2018
VW p! 1,0 MPi 60 ...p! BMT 5d;60 HK;1.000;24,4 km/l;14,4 sek.;112.900 kr.;2017
Mercedes E220 d 2,...e aut. 4d;194 HK;32.000;25,6 km/l;7,3 sek.;519.800 kr.;2017
Renault Espace 3,0...6 aut. 5d;190 HK;143.000;8,6 km/l;10,6 sek.;39.900 kr.;2001
VW Passat 2,0 TDi ...i. BMT 5d;140 HK;125.000;21,7 km/l;10,0 sek.;199.800 kr.;2013
VW Golf VI 1,6 TDi...Motion 5d;105 HK;120.000;26,3 km/l;11,3 sek.;114.900 kr.;2012
Audi A6 2,0 TDi 17...ltitr. 5d;170 HK;188.000;16,9 km/l;9,2 sek.;159.900 kr.;2010
BMW 320d 2,0  4d;177 HK;52.000;20,8 km/l;7,9 sek.;199.900 kr.;2010
Ford C-MAX 1,5 TDC...tanium 5d;120 HK;9.000;24,4 km/l;11,3 sek.;244.900 kr.;2017
Mercedes E200 2,0 ...t aut. 2d;184 HK;50.000;16,1 km/l;8,2 sek.;614.900 kr.;2016
Kia Rio 1,4 CRDi 9...ction+ 5d;90 HK;2.000;26,3 km/l;14,2 sek.;164.900 kr.;2016
Audi SQ5 3,0 TDi 3...Tiptr. 5d;313 HK;50.000;14,7 km/l;5,1 sek.;789.900 kr.;2015
BMW 530d 3,0 aut. 4d;265 HK;7.000;22,2 km/l;5,7 sek.;895.000 kr.;2017
Renault Megane IV ...Zen ST 5d;100 HK;10.000;18,5 km/l;12,6 sek.;209.900 kr.;2017
Opel Corsa 1,3 CDT... Enjoy 5d;95 HK;20.000;29,4 km/l;11,9 sek.;139.900 kr.;2016
Kia Venga 1,4 CRDi...ashion 5d;90 HK;120.000;22,2 km/l;14,5 sek.;79.900 kr.;2010
Peugeot 5008 1,6 T...remium 5d;156 HK;109.000;14,1 km/l;10,5 sek.;139.600 kr.;2011
Audi A4 2,0 TDi 17...ltitr. 5d;177 HK;119.000;20,4 km/l;8,1 sek.;259.900 kr.;2013
Skoda Octavia 1,8 ... Combi 5d;160 HK;142.000;14,5 km/l;7,9 sek.;79.900 kr.;2010
Volvo V60 2,0 D4 1...rive-E 5d;181 HK;155.000;26,3 km/l;7,6 sek.;249.900 kr.;2015
Skoda Octavia 2,0 ...bi DSG 5d;184 HK;140.000;20,0 km/l;8,3 sek.;299.900 kr.;2014
Citroxebn C4 Airc...uction 5d;150 HK;80.000;18,5 km/l;10,8 sek.;179.900 kr.;2012
Ford Mondeo 2,0 TD...r aut. 5d;163 HK;108.000;19,2 km/l;9,8 sek.;229.900 kr.;2014
Peugeot 208 1,2 VT...Motion 5d;82 HK;60.000;22,2 km/l;12,2 sek.;94.900 kr.;2014
Hyundai ix20 1,4 Life 5d;90 HK;5.000;17,9 km/l;12,8 sek.;139.900 kr.;2016
BMW 330i 2,0 aut. 4d;252 HK;19.000;18,2 km/l;5,8 sek.;459.900 kr.;2016
Opel Insignia 2,8 ...t. 4x4 5d;325 HK;176.000;9,1 km/l;6,6 sek.;269.900 kr.;2012
