0	Car	HK	0-100	KM driven	KM/L	Price	Year	Doors	Motor
1	Volvo V60	190.0	7.7	8	22.7	459900	2018	5.0	2.0
2	VW Passat	115.0	11.2	264	12.0	29900	2002	4.0	2.0
3	Audi A5	204.0	7.1	122	20.4	429900	2013	5.0	3.0
4	VW Golf	110.0	10.5	31	26.3	239900	2016	5.0	1.6
5	Skoda Superb	120.0	11.0	53	23.8	324900	2016	5.0	1.6
6	Peugeot 2008	100.0	11.3	5	28.6	209990	2017	5.0	1.6
7	Toyota Avensis	132.0	10.6	49	15.4	174900	2015	5.0	1.6
8	Audi A6	177.0	8.5	108	19.6	329900	2014	5.0	2.0
9	VW Tiguan	110.0	11.9	113	18.9	239900	2014	5.0	2.0
10	Volvo V60	150.0	9.1	55	23.8	349700	2017	5.0	2.0
11	Citroën C3	75.0	14.1	7	31.3	149900	2017	5.0	1.6
12	Mazda 6	150.0	9.8	36	20.8	339800	2015	4.0	2.2
13	Renault Clio	90.0	12.1	9	31.3	147900	2016	5.0	1.5
14	Skoda Superb	120.0	11.0	51	23.8	339900	2016	5.0	1.6
15	Mercedes 250	150.0	10.5	82	9.0	179900	1970	2.0	2.5
16	Audi A1	116.0	9.5	21	27.0	209900	2016	5.0	1.6
17	Skoda Citigo	60.0	14.4	2	23.2	129900	2017	5.0	1.0
18	Kia Sportage	115.0	11.5	4	21.7	299900	2017	5.0	1.7
19	Toyota Yaris	69.0	15.3	12	23.3	144900	2017	5.0	1.0
20	Peugeot 508	114.0	11.3	12	22.7	239800	2014	4.0	1.6
21	Mercedes C220	170.0	7.6	57	22.7	379900	2014	5.0	2.2
22	Mercedes C43	367.0	4.8	24	12.0	1099900	2017	2.0	3.0
23	BMW 320d	177.0	8.1	217	20.8	149900	2010	5.0	2.0
24	Nissan Juke	115.0	10.8	26	17.5	172900	2016	5.0	1.2
25	Audi A5	143.0	9.4	58	22.2	274900	2013	5.0	2.0
26	BMW X4	258.0	5.8	127	16.9	499900	2015	5.0	3.0
27	Skoda Superb	150.0	8.9	54	24.4	359900	2016	5.0	2.0
28	Ford Ka	85.0	13.9	3	20.8	132800	2016	5.0	1.2
29	Ford Mondeo	115.0	11.2	130	23.3	129800	2011	5.0	1.6
30	Nissan Leaf	109.0	11.5	8	19.92199619113573	204700	2016	5.0	1.8356920684292384
31	Mercedes ML320	224.0	8.6	295	10.4	199800	2009	5.0	3.0
32	BMW 525d	218.0	7.1	103	20.4	409800	2014	5.0	2.0
33	Mercedes CLA250	211.0	6.5	19	15.6	539900	2017	4.0	2.0
34	Audi A4	136.0	9.6	100	23.8	289900	2015	5.0	2.0
35	Ford Fiesta	100.0	10.5	2	23.3	164900	2017	5.0	1.0
36	Mercedes B200	136.0	9.3	26	22.2	299700	2014	5.0	1.8
37	Ford Mondeo	160.0	9.3	45	16.9	249900	2015	5.0	1.5
38	DS DS	100.0	10.8	81	33.3	99900	2016	3.0	1.6
39	Fiat 500C	80.0	11.0	0	26.3	129990	2018	2.0	0.9
40	Renault Megane	110.0	11.3	9	30.3	189900	2016	5.0	1.5
41	Mercedes C350	211.0	5.9	27	19.92199619113573	479900	2016	4.0	2.0
42	Chevrolet Cruze	125.0	10.3	136	18.2	65900	2010	4.0	2.0
43	Renault Megane	110.0	11.3	8	30.3	184900	2016	5.0	1.5
44	Smart Forfour	71.0	16.9	26	23.8	84900	2015	5.0	1.0
45	Kia Rio	84.0	12.9	12	21.3	139900	2017	5.0	1.2
46	Opel Insignia	170.0	8.9	9	18.9	399900	2018	5.0	2.0
47	BMW 520d	190.0	7.8	1	22.2	600000	2017	5.0	2.0
48	Mercedes C200	184.0	8.8	114	12.5	199900	2009	5.0	1.8
49	Peugeot 308	130.0	10.0	2	21.7	239990	2017	5.0	1.2
50	Renault Megane	110.0	11.3	4	30.3	184900	2016	5.0	1.5
51	Audi A4	180.0	8.6	74	13.7	229900	2011	5.0	2.0
52	Audi A6	204.0	7.4	99	19.2	369900	2013	5.0	3.0
53	Opel Insignia	140.0	11.0	172	25.6	149800	2015	5.0	2.0
54	VW Golf	150.0	8.9	129	22.2	199800	2014	5.0	2.0
55	Mercedes CLA45	360.0	4.6	103	14.5	579900	2014	4.0	2.0
56	Ford Fiesta	120.0	9.9	66	17.2	84900	2011	3.0	1.6
